,pcfg_jed,pcfg_odz,pcfg_prec,pcfg_f1,pcfg_isti,cnn_jed,cnn_odz,cnn_prec,cnn_f1,cnn_isti
tdbD00004963,0.9473684210526315,0.9,1.0,0.9473684210526316,False,1.0,1.0,1.0,1.0,True
tdbD00004980,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00004988,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00005007,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00005018,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00005031,0.6363636363636364,0.5909090909090909,0.5909090909090909,0.5909090909090909,False,1.0,1.0,1.0,1.0,True
tdbD00005065,0.7945205479452054,0.55,0.5789473684210527,0.5641025641025641,False,1.0,1.0,1.0,1.0,True
tdbD00005086,0.9178082191780822,0.85,1.0,0.9189189189189189,False,0.9178082191780822,0.85,1.0,0.9189189189189189,False
tdbD00005102,0.972972972972973,0.9473684210526315,1.0,0.972972972972973,False,0.8648648648648649,0.7368421052631579,1.0,0.8484848484848484,False
tdbD00005104,0.8082191780821918,0.8,0.8,0.8000000000000002,False,1.0,1.0,1.0,1.0,True
tdbD00005107,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00005113,1.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
tdbD00005128,0.7671232876712328,0.7619047619047619,0.7619047619047619,0.7619047619047619,False,1.0,1.0,1.0,1.0,True
tdbD00005132,0.7671232876712328,0.7619047619047619,0.7619047619047619,0.7619047619047619,False,1.0,1.0,1.0,1.0,True
